Name,Category,Rating,Duration,Price
Spectacular Valley,History,3.1,9.9,4327
Spectacular Volcano,Food and Drink,1.9,4.1,11132
Spectacular Waterfall,Entertainment,2.6,3.10,7447
Stunning Beach,Religious Sites,2.2,6.5,15332
Stunning Canyon,Entertainment,3.2,5.3,17003
Stunning City,History,1.9,9.2,4469
Stunning Desert,Architecture,3.6,5.7,2989
Stunning Forest,Outdoors,2.7,8.4,5611
Stunning Glacier,Religious Sites,1.5,4.7,1280
Stunning Gorge,Architecture,3.2,10.7,12147
Stunning Hill,History,3.9,4.8,899
Stunning Island,Entertainment,1.3,6.9,1803
Stunning Jungle,Architecture,1.9,1.6,17026
Stunning Lake,Architecture,3.1,6.9,17612
Stunning Meadow,Adventure,1.7,9.6,16456
Stunning Mountain,Food and Drink,1.8,1.9,10827
Stunning Museum,Food and Drink,3.7,9.5,4613
Stunning Park,Adventure,1.9,5.3,11918
Stunning Plateau,Adventure,2.3,9.0,11828
Stunning Rainforest,History,4.3,4.1,19064
Stunning River,Entertainment,3.7,5.3,3540
Stunning Sea,Food and Drink,4.9,8.5,11482
Stunning Valley,Nightlife,3.3,8.10,12326
Stunning Volcano,Shopping,1.9,10.2,6054
Stunning Waterfall,Nature,2.4,8.8,5464
Sunny Beach,Shopping,2.4,9.10,1343
Sunny Canyon,Religious Sites,1.3,9.4,19631
Sunny City,Shopping,4.4,2.10,2475
Sunny Desert,Outdoors,3.8,5.1,12695
Sunny Forest,Beaches,4.9,2.0,11230
Sunny Gorge,Shopping,1.3,10.7,6398
Sunny Hill,Shopping,1.6,4.3,11565
Sunny Island,Arts,4.6,10.8,8287
Sunny Jungle,Adventure,3.5,7.2,13375
Sunny Meadow,Food and Drink,4.5,4.2,5353
Sunny Mountain,Religious Sites,2.4,3.3,17010
Sunny Museum,Nature,1.1,6.7,4083
Sunny Park,Religious Sites,4.9,10.1,6194
Sunny Peak,Adventure,2.9,8.4,3119
Sunny Rainforest,Nightlife,1.6,8.6,9897
Sunny Sea,Outdoors,1.5,7.1,7070
Sunny Valley,Religious Sites,2.9,5.4,4163
Sunny Volcano,Nature,3.2,6.6,8595
Sunny Waterfall,Religious Sites,4.5,10.9,6294
Thrilling Beach,Arts,1.4,6.2,12516
Thrilling Canyon,Culture,2.3,7.5,8211
Thrilling City,Nature,1.2,2.4,8681
Thrilling Desert,Food and Drink,4.2,8.8,2209
Thrilling Forest,History,1.6,3.10,6766
Thrilling Glacier,Food and Drink,3.8,3.1,11351
Thrilling Gorge,Outdoors,2.7,3.6,11411
Thrilling Hill,Nature,1.9,9.3,10244
Thrilling Island,Food and Drink,2.4,9.3,13474
Thrilling Jungle,Religious Sites,3.2,4.6,5979
Thrilling Lake,Beaches,1.4,1.0,9227
Thrilling Meadow,History,3.2,3.3,11430
Thrilling Mountain,Nature,2.7,10.7,19403
Thrilling Museum,Nature,2.3,5.3,13938
Thrilling Park,Shopping,2.5,6.5,18468
Thrilling Peak,Religious Sites,4.9,2.0,12749
Thrilling Plateau,Culture,1.6,3.3,15306
Thrilling River,Architecture,3.7,10.6,17634
Thrilling Rock,Adventure,1.3,5.5,5251
Thrilling Valley,Religious Sites,3.0,1.9,10406
Thrilling Volcano,Shopping,4.4,1.0,18785
Thrilling Waterfall,Nature,1.9,6.2,15480
Tranquil Beach,Entertainment,3.8,9.5,1546
Tranquil Canyon,Nature,4.5,2.4,9095
Tranquil City,Beaches,3.4,1.0,6491
Tranquil Desert,Food and Drink,4.1,8.4,6160
Tranquil Forest,Beaches,3.7,3.5,17611
Tranquil Gorge,Nightlife,4.3,7.9,16910
Tranquil Hill,Entertainment,4.5,9.4,19908
Tranquil Island,Nature,1.2,10.1,14065
Tranquil Jungle,Arts,3.5,10.8,15906
Tranquil Lake,Religious Sites,2.1,8.0,6572
Tranquil Meadow,Nightlife,1.1,4.9,10077
Tranquil Mountain,Food and Drink,2.7,7.6,18318
Tranquil Museum,Religious Sites,4.5,2.0,6437
Tranquil Park,Entertainment,3.8,3.4,18016
Tranquil Peak,Nature,3.2,8.8,13875
Tranquil Plateau,Architecture,2.4,1.3,6254
Tranquil Rainforest,Architecture,4.7,3.10,9194
Tranquil River,History,4.3,7.10,12663
Tranquil Rock,Adventure,2.7,1.10,17890
Tranquil Sea,Shopping,3.0,10.3,7725
Tranquil Volcano,Culture,2.9,5.2,17267
Tranquil Waterfall,Adventure,1.7,5.0,4073
Unforgettable Beach,Food and Drink,2.5,8.1,5058
Unforgettable Canyon,Culture,4.0,7.3,4812
Unforgettable Desert,Religious Sites,3.4,8.5,1357
Unforgettable Glacier,Religious Sites,1.4,9.8,15971
Unforgettable Gorge,History,3.8,9.4,6855
Unforgettable Hill,Nature,1.4,3.3,2653
Unforgettable Island,Culture,3.2,5.9,11351
Unforgettable Jungle,Arts,3.3,8.4,9124
Unforgettable Lake,History,3.6,1.6,11429
Unforgettable Meadow,Food and Drink,4.0,3.7,6589
Unforgettable Mountain,Food and Drink,3.6,7.2,13718
Unforgettable Museum,Adventure,2.5,2.9,6631
Unforgettable Park,Arts,4.5,6.5,13434
Unforgettable Rainforest,Adventure,2.2,8.6,9615
Unforgettable River,Entertainment,1.1,3.0,7198
Unforgettable Rock,Architecture,2.6,8.2,827
Unforgettable Sea,History,1.5,7.0,15849
Unforgettable Valley,Arts,1.6,10.0,11262
Unforgettable Volcano,Nature,1.2,2.1,13337
Unforgettable Waterfall,History,3.0,10.1,4236
